"Number.of.Times.Charted","Popularity","Tempo","Feature","Artist.Followers","Duration.ms"
8,100,134.002,0,3377762,211560
3,99,169.928,0,2230022,141806
11,99,166.928,0,6266514,178147
5,98,126.026,0,83293380,231041
1,96,149.995,0,5473565,212000
18,97,178.818,0,5473565,137876
16,94,110.968,0,8640063,208867
10,95,127.949,0,6080597,199604
8,96,179.951,0,36142273,206710
10,95,132.507,0,3377762,173347
43,89,102.977,0,27142474,203064
9,95,101.968,1,29051363,217773
3,95,124.925,0,37106176,187585
19,94,90.03,0,48504126,198082
10,95,109.997,0,37106176,164442
10,94,100.607,0,6266514,229227
17,93,180.917,0,6266514,215507
14,94,118.091,0,35305637,191014
5,93,172.031,1,2123734,261335
7,90,130.041,0,8640063,210560
3,91,153.979,1,151486,273474
5,90,124.097,0,8640063,174253
29,92,143.875,0,6266514,242013
31,85,80.87,0,1890510,238805
83,92,171.005,0,35305637,200040
10,92,168.924,0,6266514,175933
3,92,130.001,0,10502148,287120
3,90,129.915,0,33651775,184213
23,92,122.98,1,83689,169153
28,89,149.996,0,365975,132780
21,92,148.088,1,32574754,242096
1,88,110.108,0,22683756,164842
10,91,172.929,0,6266514,152667
15,91,80.015,1,16216789,195053
83,90,95.39,0,16112621,174000
16,89,81.039,0,4840346,165926
5,89,128.986,1,8640063,186173
3,89,93.02,1,8758283,208631
39,86,109.928,1,36142273,205090
13,90,92.003,1,2936204,165275
10,90,163.929,0,6266514,173160
6,89,93.005,1,29051363,393280
49,89,114.044,0,37106176,199054
39,90,120.031,0,5785065,164000
10,89,124.111,0,3120157,183726
51,89,91.007,0,1274433,140533
3,89,170.064,1,375865,192353
6,89,97.99,1,6929075,349547
11,89,102.931,0,389076,122773
4,88,89.907,1,3126961,158087
4,88,110.427,1,45362,321556
3,84,85.016,0,47014200,195777
14,49,128.012,1,32178,345543
9,89,119.976,0,31541310,154983
13,89,179.626,0,495226,147062
5,83,151.92,0,409173,157176
12,87,83.876,1,6080597,212032
21,88,99.048,0,32262679,227395
15,88,117.003,0,12169108,169011
7,88,130.02,0,4787261,184635
26,88,125.993,1,291777,150053
10,89,123.999,0,6266514,143747
34,94,118.091,0,35305637,191014
24,87,89.087,0,1398563,198371
83,0,123.95,0,1250353,183290
7,87,119.997,0,116817,160880
48,87,124.053,0,6662605,240400
3,87,177.998,0,26769304,201181
83,86,109.891,0,8384096,182161
1,83,139.928,0,26131,153406
2,85,80.511,0,408696,123987
18,87,88.863,1,17775316,209160
8,87,128.05,1,2895789,231604
4,87,123.028,0,27116,241970
11,86,102.999,0,3377762,194787
23,88,83.97,0,1999954,160191
14,87,106.891,1,2043294,197333
24,88,98.005,1,31488,261667
83,83,98.027,0,2819593,209438
34,87,93.005,0,2230022,161385
21,87,136.006,0,56308172,192956
2,84,115.044,0,1042079,58149
3,0,115.982,0,1250353,258004
28,87,124.917,1,17719446,162803
55,87,122.953,0,207547,166028
20,87,123.989,1,207547,178088
8,87,105.039,1,18228,182857
1,80,124.995,1,203972,206629
25,84,71.884,0,287361,183624
13,87,87.961,1,151486,193636
40,86,144.015,0,67158068,172325
84,87,120.042,0,33651775,215280
1,78,144.955,1,1329531,144264
10,86,97.018,1,6341942,200785
4,2,126.986,1,1250353,131067
3,86,107.998,0,8640063,172627
8,85,90.021,0,1521837,168030
2,79,140.013,0,1427540,251733
83,83,111.881,0,8384096,215107
19,89,102.977,0,27142474,203064
5,86,180.104,0,3363988,203385
5,85,180.003,0,16074,280274
83,86,124.949,0,35285425,204347
48,82,140.04,0,411579,195429
19,83,145.837,0,32574754,217867
83,72,121.955,0,742692,176867
11,86,90.025,0,8758283,216510
3,86,111.898,1,10356559,158532
1,86,167.933,0,56699,151429
83,86,115.284,0,47014200,200186
83,82,89.911,1,1250353,158040
3,86,109.075,0,73211,171743
29,86,90.035,0,8640063,226987
8,85,124.01,0,21942793,189672
3,85,86.959,0,5420471,193221
80,85,95.977,0,83293380,233713
83,82,116.947,1,33879560,190960
21,0,139.98,0,1250353,170813
83,86,95.05,0,83293380,263400
5,85,139.966,1,282045,231708
35,86,81.993,1,36142273,203201
67,86,89.977,0,7593046,181733
53,86,102.078,0,3794081,198040
55,86,124.148,0,1647262,169266
18,85,125.983,0,20270895,176658
37,78,101.654,0,2421254,204280
30,77,116.761,0,13261089,301920
10,86,88.485,0,6266514,202827
42,85,85.012,0,6662605,260173
3,84,150.006,0,409173,147072
12,85,77.005,0,6430522,236883
83,85,91.05,0,32262679,189486
16,67,122.764,0,1838616,244360
4,85,113.12,0,64288,158594
37,74,128.945,0,4781906,241693
13,80,106.52,0,261225,226268
4,85,135.005,0,12969190,192725
25,83,166,0,17353707,156945
52,77,179.984,0,26769304,200482
1,79,92.047,0,14187747,198765
81,74,143.883,0,35888760,354320
32,85,168.021,1,6150675,232853
39,85,124.114,0,441674,167903
83,87,124.917,0,17719446,162803
18,85,121.955,0,432581,139563
2,83,122.959,1,10561047,176575
83,83,95.799,1,18572085,215733
9,85,157.905,1,159647,180380
5,84,149.95,0,15889,173038
24,74,122.017,0,12169108,257840
32,85,173.372,0,31151294,266773
1,83,94.984,1,205590,173053
1,81,147.962,1,409173,239928
23,84,124.08,0,20270895,247427
7,83,154.027,1,77034,225672
6,0,107.994,0,1250353,235556
47,85,83.995,0,6837946,160000
18,77,115.01,0,1687399,248827
5,84,119.987,0,7593046,159083
5,84,139.949,0,7593046,112547
83,85,83.903,0,19085118,239836
24,85,104.949,1,3553442,205458
83,0,135.128,0,1250353,194088
18,83,159.702,1,11477164,141050
56,84,125.971,0,6837946,190476
10,85,168.884,0,6266514,163587
51,84,133.073,0,17353707,187541
22,75,148.017,0,6118063,222587
